9,18,7,-8.005566596984863,-6.373828411102295,2.84716796875,-36,-20,81,-8.641992568969727,4.794726848602295,-1.0048828125
18,11,6,-7.574902534484863,-5.656054973602295,1.9284180402755737,-32,-22,80,-8.737695693969727,3.603222608566284,-0.660351574420929
13,7,10,-7.498340129852295,-5.364160060882568,1.5791015625,-9,-25,82,-8.551074028015137,3.46923828125,-0.55029296875
0,1,12,-7.65625,-5.440722942352295,1.5216797590255737,-7,-26,84,-8.8046875,4.392773628234863,-0.48808595538139343
-13,-4,13,-7.795019626617432,-5.699120998382568,1.631738305091858,-30,-26,83,-8.79990291595459,4.09130859375,-0.5263671875
-14,-4,14,-7.7041015625,-5.837890625,1.9284180402755737,-22,-28,84,-8.675488471984863,3.8185548782348633,-0.583789050579071
-14,-3,14,-7.598828315734863,-5.684765815734863,2.067187547683716,-18,-27,83,-8.63242244720459,3.861621141433716,-0.6651367545127869
-13,-2,15,-7.570117473602295,-5.895312786102295,1.918847680091858,-8,-30,83,-8.79990291595459,4.014746189117432,-0.7608398795127869
-4,0,14,-7.507910251617432,-5.976660251617432,1.6604492664337158,-8,-28,83,-8.713769912719727,4.062597751617432,-0.7129883170127869
-1,1,14,-7.565332412719727,-5.809179782867432,1.679589867591858,-2,-27,85,-8.641992568969727,4.191796779632568,-0.5790039300918579
-3,0,14,-7.622754096984863,-5.751758098602295,1.6843750476837158,-8,-27,87,-8.665918350219727,4.105664253234863,-0.3301757872104645
-4,0,14,-7.670605659484863,-5.81396484375,1.775292992591858,-6,-29,85,-8.68505859375,3.9621095657348633,-0.36845704913139343
-3,0,13,-7.603613376617432,-5.81396484375,1.72265625,-8,-28,84,-8.68027400970459,4.057812690734863,-0.3828125
-3,0,13,-7.58447265625,-5.809179782867432,1.765722632408142,-6,-28,85,-8.641992568969727,4.014746189117432,-0.4737304747104645
-3,0,13,-7.641894817352295,-5.7900390625,1.751367211341858,-6,-28,85,-8.675488471984863,4.196582317352295,-0.4737304747104645
-6,-1,13,-7.598828315734863,-5.842675685882568,1.7848633527755737,-7,-27,87,-8.622851371765137,4.517187595367432,-0.516796886920929
-6,-9,-4,-8.01513671875,-7.125097751617432,3.25390625,-2,-23,114,-8.87168025970459,6.53173828125,0.6507812738418579
-35,-60,-59,-10.13974666595459,-9.527246475219727,4.488476753234863,9,-31,189,-11.039355278015137,10.50341796875,0.607714831829071
-94,-112,-138,-8.263964653015137,-12.929491996765137,4.368847846984863,-28,-30,291,-11.17333984375,14.441601753234863,-0.05742187798023224
-34,-102,-208,-5.531640529632568,-14.61386775970459,3.75634765625,-32,-13,361,-8.75205135345459,13.053906440734863,-0.756054699420929
12,-79,-240,-3.3543946743011475,-11.417383193969727,1.751367211341858,-50,8,372,-5.5029296875,10.54648494720459,-1.6365234851837158
41,-43,-235,-1.89013671875,-9.321484565734863,1.69873046875,-73,34,339,-4.048242092132568,8.474512100219727,-2.741894483566284
63,-25,-200,-0.98095703125,-7.87158203125,1.559960961341858,-76,42,295,-2.119824171066284,6.0771484375,-1.7130860090255737
80,-3,-167,0.32060548663139343,-6.416894435882568,2.0145509243011475,-54,33,253,-0.12441406399011612,6.38818359375,0.34931641817092896
81,13,-137,2.17724609375,-7.177734375,3.076855421066284,-60,19,227,2.2059571743011475,7.9912109375,0.8661133050918579
129,54,-111,3.119921922683716,-4.23486328125,4.646386623382568,-78,19,216,1.8279297351837158,8.68027400970459,0.5455078482627869
48,34,-85,3.0433595180511475,-4.751660346984863,11.07285213470459,-73,40,189,0.8804687857627869,6.421679973602295,1.9332032203674316
115,35,-67,4.842578411102295,-5.71826171875,10.106249809265137,-66,57,140,1.143652319908142,5.019629001617432,4.828222751617432
121,89,-32,5.325879096984863,-3.052929639816284,4.483691692352295,-41,51,89,3.7467775344848633,6.00537109375,5.5029296875
39,115,-5,5.388085842132568,-2.70361328125,-0.16269531846046448,-31,36,62,5.8857421875,5.689550876617432,7.909863471984863
6,106,10,5.737402439117432,-0.57421875,1.2297852039337158,11,14,64,7.206445217132568,7.7998046875,7.651464939117432
-42,29,5,6.4599609375,-2.4452149868011475,7.833301067352295,-36,16,85,8.426660537719727,8.287890434265137,2.071972608566284
-74,-111,-10,5.9814453125,-3.316113233566284,13.99658203125,-54,-6,115,3.08642578125,6.263769626617432,1.622167944908142
-103,-208,-36,5.105762004852295,-3.9668946266174316,16.082910537719727,-36,-67,149,1.3494141101837158,3.4022462368011475,0.49287110567092896
-10,-177,-55,5.23974609375,-5.799609661102295,13.82431697845459,-106,-53,138,1.98583984375,2.6988282203674316,2.885449171066284
54,-46,-51,6.871484279632568,-6.321191310882568,7.359570503234863,-133,-59,97,2.138964891433716,4.5458984375,9.49375057220459
